LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"31,724 km",Petrol,1st Owner,"₹4,54,699"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"66,341 km",Diesel,1st Owner,"₹3,72,799"
New Delhi,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"61,732 km",Petrol,1st Owner,"₹4,76,699"
New Delhi,2020,Honda,City ZX CVT,Automatic,"10,322 km",Petrol,1st Owner,"₹12,71,199"
New Delhi,2012,Ford,Fiesta TITANIUM DIESEL,Manual,"68,356 km",Diesel,2nd Owner,"₹2,85,299"
New Delhi,2018,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"28,419 km",Petrol,1st Owner,"₹5,04,399"
New Delhi,2017,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"1,38,467 km",Diesel,1st Owner,"₹6,12,799"
New Delhi,2016,BMW,X1 SDRIVE 20D,Automatic,"26,906 km",Diesel,2nd Owner,"₹19,86,399"
New Delhi,2012,Toyota,Fortuner 3.0 MT 4X4,Manual,"69,594 km",Diesel,1st Owner,"₹12,79,699"
New Delhi,2015,Audi,Q3 35 TDI Quattro,Automatic,"67,720 km",Diesel,3rd Owner,"₹15,60,499"
New Delhi,2016,Hyundai,New Elantra 2.0 SX (O) AT,Automatic,"49,510 km",Petrol,2nd Owner,"₹9,66,099"
New Delhi,2016,Mercedes,Benz E Class E200 CGI EDITION E,Manual,"19,041 km",Petrol,2nd Owner,"₹22,66,999"
New Delhi,2014,Toyota,Corolla Altis D 4D J,Manual,"1,03,033 km",Diesel,1st Owner,"₹6,39,299"
New Delhi,2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,294 km",Petrol,2nd Owner,"₹8,98,799"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,69,099"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,395 km",Diesel,1st Owner,"₹6,83,399"
